,acquisition_date,acquisitions
0,2020-07-01,8
1,2020-06-30,11
2,2020-06-29,11
3,2020-06-28,11
4,2020-06-27,7
5,2020-06-26,11
6,2020-06-25,11
7,2020-06-24,14
8,2020-06-23,12
9,2020-06-22,15
10,2020-06-21,6
11,2020-06-20,7
12,2020-06-19,5
13,2020-06-18,10
14,2020-06-17,10
15,2020-06-16,10
16,2020-06-15,10
17,2020-06-14,10
18,2020-06-13,15
19,2020-06-12,8
20,2020-06-11,7
21,2020-06-10,6
22,2020-06-09,14
23,2020-06-08,8
24,2020-06-07,8
25,2020-06-06,14
26,2020-06-05,12
27,2020-06-04,5
28,2020-06-03,16
29,2020-06-02,12
30,2020-06-01,8
31,2020-05-31,8
32,2020-05-30,8
33,2020-05-29,6
34,2020-05-28,10
35,2020-05-27,11
36,2020-05-26,18
37,2020-05-25,6
38,2020-05-24,10
39,2020-05-23,11
40,2020-05-22,13
41,2020-05-21,8
42,2020-05-20,8
43,2020-05-19,9
44,2020-05-18,10
45,2020-05-17,11
46,2020-05-16,8
47,2020-05-15,3
48,2020-05-14,8
49,2020-05-13,9
50,2020-05-12,11
51,2020-05-11,2
52,2020-05-10,13
53,2020-05-09,10
54,2020-05-08,8
55,2020-05-07,8
56,2020-05-06,8
57,2020-05-05,16
58,2020-05-04,9
59,2020-05-03,6
60,2020-05-02,14
61,2020-05-01,8
62,2020-04-30,5
63,2020-04-29,6
64,2020-04-28,7
65,2020-04-27,5
66,2020-04-26,3
67,2020-04-25,10
68,2020-04-24,9
69,2020-04-23,15
70,2020-04-22,16
71,2020-04-21,5
72,2020-04-20,9
73,2020-04-19,11
74,2020-04-18,7
75,2020-04-17,5
76,2020-04-16,10
77,2020-04-15,11
78,2020-04-14,14
79,2020-04-13,10
80,2020-04-12,11
81,2020-04-11,4
82,2020-04-10,9
83,2020-04-09,10
84,2020-04-08,7
85,2020-04-07,13
86,2020-04-06,9
87,2020-04-05,8
88,2020-04-04,8
89,2020-04-03,12
90,2020-04-02,11
91,2020-04-01,4
92,2020-03-31,9
93,2020-03-30,12
94,2020-03-29,11
95,2020-03-28,8
96,2020-03-27,9
97,2020-03-26,10
98,2020-03-25,12
99,2020-03-24,7
100,2020-03-23,8
101,2020-03-22,9
102,2020-03-21,10
103,2020-03-20,8
104,2020-03-19,11
105,2020-03-18,12
106,2020-03-17,15
107,2020-03-16,6
108,2020-03-15,7
109,2020-03-14,7
110,2020-03-13,10
111,2020-03-12,12
112,2020-03-11,12
113,2020-03-10,7
114,2020-03-09,13
115,2020-03-08,11
116,2020-03-07,10
117,2020-03-06,8
118,2020-03-05,11
119,2020-03-04,16
120,2020-03-03,10
121,2020-03-02,5
122,2020-03-01,8
123,2020-02-29,10
124,2020-02-28,9
125,2020-02-27,13
126,2020-02-26,9
127,2020-02-25,10
128,2020-02-24,11
129,2020-02-23,6
130,2020-02-22,13
131,2020-02-21,11
132,2020-02-20,7
133,2020-02-19,13
134,2020-02-18,6
135,2020-02-17,9
136,2020-02-16,6
137,2020-02-15,10
138,2020-02-14,4
139,2020-02-13,9
140,2020-02-12,9
141,2020-02-11,14
142,2020-02-10,15
143,2020-02-09,9
144,2020-02-08,6
145,2020-02-07,13
146,2020-02-06,12
147,2020-02-05,9
148,2020-02-04,6
149,2020-02-03,10
150,2020-02-02,12
151,2020-02-01,6
152,2020-01-31,10
153,2020-01-30,10
154,2020-01-29,7
155,2020-01-28,11
156,2020-01-27,10
157,2020-01-26,8
158,2020-01-25,8
159,2020-01-24,7
160,2020-01-23,11
161,2020-01-22,6
162,2020-01-21,14
163,2020-01-20,11
164,2020-01-19,12
165,2020-01-18,6
166,2020-01-17,9
167,2020-01-16,9
168,2020-01-15,5
169,2020-01-14,4
170,2020-01-13,9
171,2020-01-12,13
172,2020-01-11,7
173,2020-01-10,6
174,2020-01-09,16
175,2020-01-08,11
176,2020-01-07,5
177,2020-01-06,11
178,2020-01-05,8
179,2020-01-04,9
180,2020-01-03,6
181,2020-01-02,11
182,2020-01-01,10
